datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       0,       0,1,885000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,      83,   49654,0,0,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,       0,       0,1,761000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    2275, 1488034,0,258000000,0x0000,1
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       0,       0,12,251000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    1803, 1123686,33,486000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      16,    7536,42,157000000,0x0000,0
000000000000001c,       1,46:fe:e1:49:87:f8,       1,      85,   47822,1,59000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,      85,   55406,0,70000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,       0,       0,0,66000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,0,109000000,0x0000,0
000000000000000a,       1,46:fe:e1:49:87:f8,       2,       0,       0,5,849000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,6,65000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     485,  304882,7,982000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    2203, 1373162,43,512000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      16,    7536,52,183000000,0x0000,0
000000000000001c,       1,46:fe:e1:49:87:f8,       1,      85,   47822,11,85000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,       0,       0,15,836000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,16,52000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,     485,  304882,17,974000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    2203, 1373162,53,504000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,      16,    7536,62,175000000,0x0000,0
000000000000001c,       1,46:fe:e1:49:87:f8,       1,      85,   47822,21,77000000,0x0000,1
000000000000001c,       1,46:fe:e1:49:87:f8,       1,      85,   47822,31,90000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      47,   25474,0,18000000,0x0000,1
000000000000001a,       2,fa:8f:99:2c:69:cd,       1,       0,       0,2,649000000,0x0000,0
0000000000000003,       1,46:fe:e1:49:87:f8,       2,     719,  457906,0,85000000,0x0000,1
0000000000000003,       2,fa:8f:99:2c:69:cd,       1,       0,       0,2,636000000,0x0000,0
0000000000000027,       1,46:fe:e1:49:87:f8,       3,      15,    8130,0,180000000,0x0000,1
000000000000001c,       1,46:fe:e1:49:87:f8,       1,      12,    8448,0,0,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      95,   59074,1,678000000,0x0000,1
0000000000000019,       2,46:fe:e1:49:87:f8,       2,       0,       0,0,0,0x0000,1
0000000000000019,       2,fa:8f:99:2c:69:cd,       2,       0,       0,1,18000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      45,   25362,1,359000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,      23,   13438,0,184000000,0x0000,1
000000000000001d,       1,46:fe:e1:49:87:f8,       1,       3,    1626,0,187000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,      38,   20596,0,0,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,     143,   91510,11,446000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,      59,   38590,0,0,0x0000,1
0000000000000019,       2,46:fe:e1:49:87:f8,       2,      69,   40122,0,165000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,      14,    7588,0,0,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,      14,    7588,0,0,0x0000,1
0000000000000006,       1,46:fe:e1:49:87:f8,       4,     176,  106480,0,0,0x0000,1
0000000000000007,       2,46:fe:e1:49:87:f8,       2,     142,   89024,8,295000000,0x0000,1
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    2299, 1441142,8,35000000,0x0000,1
000000000000000b,       2,46:fe:e1:49:87:f8,       2,     333,  203634,5,175000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    2313, 1450674,8,289000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    2429, 1517434,9,978000000,0x0000,1
0000000000000003,       1,46:fe:e1:49:87:f8,       2,    2056, 1288040,4,523000000,0x0000,1
0000000000000008,       1,46:fe:e1:49:87:f8,       1,     142,   89024,8,286000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    2344, 1466504,7,418000000,0x0000,1
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    8147, 5104594,18,27000000,0x0000,1
0000000000000007,       2,46:fe:e1:49:87:f8,       2,     142,   89024,18,289000000,0x0000,1
0000000000000003,       1,46:fe:e1:49:87:f8,       2,    7904, 4951492,14,515000000,0x0000,1
0000000000000008,       1,46:fe:e1:49:87:f8,       1,     142,   89024,18,278000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    8192, 5129956,17,418000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    8161, 5114126,18,291000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    8277, 5180886,19,978000000,0x0000,1
000000000000000b,       2,46:fe:e1:49:87:f8,       2,     333,  203634,15,175000000,0x0000,1
0000000000000008,       1,46:fe:e1:49:87:f8,       1,     142,   89024,28,281000000,0x0000,1
0000000000000007,       2,46:fe:e1:49:87:f8,       2,     142,   89024,28,292000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    8161, 5114126,28,286000000,0x0000,1
000000000000000b,       2,46:fe:e1:49:87:f8,       2,     333,  203634,25,170000000,0x0000,1
