datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
000000000000001a,       1,1a:d9:eb:06:76:99,       2,     134,    9916,36,986000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,       4,     168,14,883000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       5,     210,34,832000000,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,     204,   15096,47,346000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,       8,     336,25,243000000,0x0000,0
000000000000001a,       2,8a:91:5e:64:27:03,       1,       9,     378,45,192000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,       2,     148,0,246000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       2,      84,1,194000000,0x0000,0
000000000000000a,       1,1a:d9:eb:06:76:99,       2,     157,   11618,25,382000000,0x0000,0
000000000000000a,       2,7e:ba:50:68:c8:ee,       1,       7,     294,19,333000000,0x0000,0
000000000000000a,       2,8a:91:5e:64:27:03,       1,       9,     378,31,401000000,0x0000,0
0000000000000027,       1,1a:d9:eb:06:76:99,       3,     156,   11544,27,923000000,0x0000,0
0000000000000027,       3,7e:ba:50:68:c8:ee,       1,       8,     336,26,331000000,0x0000,0
0000000000000027,       3,8a:91:5e:64:27:03,       1,       8,     336,28,643000000,0x0000,0
0000000000000006,       1,1a:d9:eb:06:76:99,       4,      62,    4588,5,795000000,0x0000,0
0000000000000006,       4,7e:ba:50:68:c8:ee,       1,       3,     126,1,978000000,0x0000,0
0000000000000006,       4,8a:91:5e:64:27:03,       1,       6,     252,4,308000000,0x0000,0
0000000000000010,       1,1a:d9:eb:06:76:99,       1,       1,      74,0,0,0x0000,0
000000000000001a,       1,1a:d9:eb:06:76:99,       2,     241,   17834,57,175000000,0x0000,0
000000000000001a,       2,7e:ba:50:68:c8:ee,       1,      11,     462,35,72000000,0x0000,0
