@relation monitor-ddos-port-attack-stats

@attribute datapath string
@attribute port string
@attribute rx-pkts numeric
@attribute rx-bytes numeric
@attribute rx-error numeric
@attribute tx-pkts numeric
@attribute tx-bytes numeric
@attribute tx-error numeric

@data
1,1,14,948,0,49,3048,0
1,2,12,828,0,45,2808,0
1,fffffffe,0,0,0,0,0,0
10,1,43,2688,0,10,708,0
10,2,8,588,0,42,2638,0
10,fffffffe,0,0,0,0,0,0
12,1,45,2838,0,7,528,0
12,fffffffe,0,0,0,0,0,0
000000000000001b,1,43,2688,0,10,708,0
000000000000001b,2,11,768,0,41,2568,0
000000000000001b,3,6,468,0,41,2568,0
000000000000001b,fffffffe,0,0,0,0,0,0
4,1,45,2808,0,11,768,0
4,2,11,768,0,43,2688,0
4,3,8,588,0,42,2628,0
4,fffffffe,0,0,0,0,0,0
3,1,48,2988,0,13,888,0
3,2,13,888,0,48,2988,0
3,3,11,768,0,45,2808,0
3,4,41,2568,0,11,768,0
3,5,6,468,0,44,2748,0
3,6,6,468,0,42,2628,0
3,fffffffe,0,0,0,0,0,0
15,1,43,2688,0,8,588,0
15,2,8,588,0,41,2568,0
15,fffffffe,0,0,0,0,0,0
000000000000000f,1,44,2748,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
000000000000000b,1,45,2808,0,12,828,0
000000000000000b,2,11,768,0,41,2568,0
000000000000000b,3,11,768,0,43,2688,0
000000000000000b,fffffffe,0,0,0,0,0,0
14,1,45,2838,0,7,528,0
14,fffffffe,0,0,0,0,0,0
000000000000000e,1,46,2878,0,8,588,0
000000000000000e,2,7,528,0,44,2748,0
000000000000000e,fffffffe,0,0,0,0,0,0
11,1,42,2638,0,8,588,0
11,fffffffe,0,0,0,0,0,0
6,1,48,2988,0,13,888,0
6,2,10,738,0,43,2688,0
6,3,13,888,0,48,2988,0
6,4,11,768,0,48,2988,0
6,fffffffe,0,0,0,0,0,0
000000000000001c,1,41,2568,0,11,768,0
000000000000001c,2,8,588,0,42,2628,0
000000000000001c,fffffffe,0,0,0,0,0,0
18,1,9,648,0,43,2688,0
18,2,42,2628,0,10,708,0
18,fffffffe,0,0,0,0,0,0
7,1,43,2688,0,11,768,0
7,2,43,2688,0,10,738,0
7,3,7,528,0,45,2838,0
7,4,7,528,0,45,2838,0
7,5,7,528,0,45,2838,0
7,fffffffe,0,0,0,0,0,0
000000000000001a,1,43,2688,0,12,858,0
000000000000001a,2,10,708,0,43,2688,0
000000000000001a,fffffffe,0,0,0,0,0,0
9,1,44,2748,0,9,648,0
9,2,8,588,0,43,2688,0
9,fffffffe,0,0,0,0,0,0
000000000000001d,1,42,2628,0,8,588,0
000000000000001d,2,43,2688,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
13,1,45,2838,0,7,528,0
13,fffffffe,0,0,0,0,0,0
5,1,42,2628,0,8,588,0
5,2,8,588,0,42,2628,0
5,fffffffe,0,0,0,0,0,0
000000000000000a,1,48,2988,0,11,768,0
000000000000000a,2,12,858,0,43,2688,0
000000000000000a,3,11,768,0,44,2748,0
000000000000000a,fffffffe,0,0,0,0,0,0
19,1,10,708,0,42,2628,0
19,2,44,2748,0,11,768,0
19,fffffffe,0,0,0,0,0,0
2,1,49,3048,0,14,948,0
2,2,13,888,0,48,2988,0
2,fffffffe,0,0,0,0,0,0
000000000000000d,1,45,2808,0,14,958,0
000000000000000d,2,10,708,0,43,2688,0
000000000000000d,3,8,588,0,46,2878,0
000000000000000d,fffffffe,0,0,0,0,0,0
17,1,43,2688,0,9,648,0
17,2,12,828,0,43,2688,0
17,fffffffe,0,0,0,0,0,0
000000000000001b,1,58,3929,0,18,1243,0
000000000000001b,2,11,768,0,47,2910,0
000000000000001b,3,14,1003,0,56,3809,0
000000000000001b,fffffffe,0,0,0,0,0,0
15,1,49,3030,0,8,588,0
15,2,8,588,0,47,2910,0
15,fffffffe,0,0,0,0,0,0
13,1,51,3180,0,7,528,0
13,fffffffe,0,0,0,0,0,0
000000000000000e,1,52,3220,0,8,588,0
000000000000000e,2,7,528,0,50,3090,0
000000000000000e,fffffffe,0,0,0,0,0,0
1,1,15,990,0,54,3348,0
1,2,12,828,0,51,3150,0
1,fffffffe,0,0,0,0,0,0
8,1,54,3330,0,13,888,0
8,2,48,2970,0,8,588,0
8,3,9,648,0,50,3090,0
8,fffffffe,0,0,0,0,0,0
3,1,53,3288,0,14,930,0
3,2,21,1423,0,63,4229,0
3,3,11,768,0,51,3150,0
3,4,47,2910,0,11,768,0
3,5,16,1409,0,57,3583,0
3,6,6,468,0,48,2970,0
3,fffffffe,0,0,0,0,0,0
19,1,10,708,0,48,2970,0
19,2,50,3090,0,11,768,0
19,fffffffe,0,0,0,0,0,0
16,1,47,2910,0,8,588,0
16,fffffffe,0,0,0,0,0,0
000000000000000f,1,50,3090,0,7,528,0
000000000000000f,fffffffe,0,0,0,0,0,0
000000000000000a,1,63,4229,0,19,1303,0
000000000000000a,2,20,1393,0,58,3929,0
000000000000000a,3,11,768,0,50,3090,0
000000000000000a,fffffffe,0,0,0,0,0,0
12,1,51,3180,0,7,528,0
12,fffffffe,0,0,0,0,0,0
4,1,51,3150,0,11,768,0
4,2,11,768,0,49,3030,0
4,3,8,588,0,48,2970,0
4,fffffffe,0,0,0,0,0,0
000000000000001d,1,48,2970,0,8,588,0
000000000000001d,2,49,3030,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
14,1,51,3180,0,7,528,0
14,fffffffe,0,0,0,0,0,0
7,1,49,3030,0,11,768,0
7,2,49,3030,0,10,738,0
7,3,7,528,0,51,3180,0
7,4,7,528,0,51,3180,0
7,5,7,528,0,51,3180,0
7,fffffffe,0,0,0,0,0,0
10,1,49,3030,0,10,708,0
10,2,8,588,0,48,2980,0
