datapath;in-port;eth-dst;out-port;packets;bytes
000000000000000a;1;de:f5:ad:55:e8:54;2;18734695;1386367023
000000000000000a;2;0e:9b:90:6e:a3:53;1;326;31831
6;1;de:f5:ad:55:e8:54;4;18734695;1386367023
6;4;0e:9b:90:6e:a3:53;1;326;31831
000000000000001b;1;de:f5:ad:55:e8:54;3;18734695;1386367023
000000000000001b;3;0e:9b:90:6e:a3:53;1;326;31831
000000000000001b;1;de:f5:ad:55:e8:54;3;19378675;1434021511
000000000000001b;3;0e:9b:90:6e:a3:53;1;337;32893
000000000000001a;1;de:f5:ad:55:e8:54;2;19378675;1434021511
000000000000001a;2;0e:9b:90:6e:a3:53;1;337;32893
3;2;0e:9b:90:6e:a3:53;5;337;32893
3;5;de:f5:ad:55:e8:54;2;19378675;1434021511
6;1;de:f5:ad:55:e8:54;4;19378675;1434021511
6;4;0e:9b:90:6e:a3:53;1;337;32893
000000000000000a;1;de:f5:ad:55:e8:54;2;19378675;1434021511
000000000000000a;2;0e:9b:90:6e:a3:53;1;337;32893
6;1;de:f5:ad:55:e8:54;4;20009704;1480717657
6;4;0e:9b:90:6e:a3:53;1;347;33913
000000000000001a;1;de:f5:ad:55:e8:54;2;20009704;1480717657
000000000000001a;2;0e:9b:90:6e:a3:53;1;347;33913
3;2;0e:9b:90:6e:a3:53;5;347;33913
3;5;de:f5:ad:55:e8:54;2;20009704;1480717657
000000000000000a;1;de:f5:ad:55:e8:54;2;20009704;1480717657
000000000000000a;2;0e:9b:90:6e:a3:53;1;347;33913
000000000000001b;1;de:f5:ad:55:e8:54;3;20009704;1480717657
000000000000001b;3;0e:9b:90:6e:a3:53;1;347;33913
000000000000001a;1;de:f5:ad:55:e8:54;2;20660736;1528893961
000000000000001a;2;0e:9b:90:6e:a3:53;1;359;35017
000000000000001b;1;de:f5:ad:55:e8:54;3;20660736;1528893961
000000000000001b;3;0e:9b:90:6e:a3:53;1;359;35017
000000000000000a;1;de:f5:ad:55:e8:54;2;20660736;1528893961
000000000000000a;2;0e:9b:90:6e:a3:53;1;359;35017
3;2;0e:9b:90:6e:a3:53;5;359;35017
3;5;de:f5:ad:55:e8:54;2;20660736;1528893961
6;1;de:f5:ad:55:e8:54;4;20660736;1528893961
6;4;0e:9b:90:6e:a3:53;1;359;35017
000000000000001b;1;de:f5:ad:55:e8:54;3;21298132;1576061265
000000000000001b;3;0e:9b:90:6e:a3:53;1;369;36037
3;2;0e:9b:90:6e:a3:53;5;369;36037
3;5;de:f5:ad:55:e8:54;2;21298132;1576061265
6;1;de:f5:ad:55:e8:54;4;21298132;1576061265
6;4;0e:9b:90:6e:a3:53;1;369;36037
000000000000000a;1;de:f5:ad:55:e8:54;2;21298132;1576061265
000000000000000a;2;0e:9b:90:6e:a3:53;1;369;36037
000000000000001a;1;de:f5:ad:55:e8:54;2;21298132;1576061265
000000000000001a;2;0e:9b:90:6e:a3:53;1;369;36037
000000000000000a;1;de:f5:ad:55:e8:54;2;21930050;1622823197
000000000000000a;2;0e:9b:90:6e:a3:53;1;379;37057
3;2;0e:9b:90:6e:a3:53;5;379;37057
3;5;de:f5:ad:55:e8:54;2;21930050;1622823197
6;1;de:f5:ad:55:e8:54;4;21930050;1622823197
6;4;0e:9b:90:6e:a3:53;1;379;37057
000000000000001b;1;de:f5:ad:55:e8:54;3;21930050;1622823197
000000000000001b;3;0e:9b:90:6e:a3:53;1;379;37057
000000000000001a;1;de:f5:ad:55:e8:54;2;21930050;1622823197
000000000000001a;2;0e:9b:90:6e:a3:53;1;379;37057
000000000000001a;1;de:f5:ad:55:e8:54;2;22557066;1669222317
000000000000001a;2;0e:9b:90:6e:a3:53;1;391;38161
000000000000000a;1;de:f5:ad:55:e8:54;2;22557066;1669222317
000000000000000a;2;0e:9b:90:6e:a3:53;1;391;38161
000000000000001b;1;de:f5:ad:55:e8:54;3;22557066;1669222317
000000000000001b;3;0e:9b:90:6e:a3:53;1;391;38161
6;1;de:f5:ad:55:e8:54;4;22557066;1669222317
6;4;0e:9b:90:6e:a3:53;1;391;38161
3;2;0e:9b:90:6e:a3:53;5;391;38161
3;5;de:f5:ad:55:e8:54;2;22557066;1669222317
3;2;0e:9b:90:6e:a3:53;5;401;39181
3;5;de:f5:ad:55:e8:54;2;23202737;1717001971
000000000000001a;1;de:f5:ad:55:e8:54;2;23202737;1717001971
000000000000001a;2;0e:9b:90:6e:a3:53;1;401;39181
6;1;de:f5:ad:55:e8:54;4;23202737;1717001971
6;4;0e:9b:90:6e:a3:53;1;401;39181
000000000000001b;1;de:f5:ad:55:e8:54;3;23202737;1717001971
000000000000001b;3;0e:9b:90:6e:a3:53;1;401;39181
000000000000000a;1;de:f5:ad:55:e8:54;2;23202737;1717001971
000000000000000a;2;0e:9b:90:6e:a3:53;1;401;39181
000000000000001b;1;de:f5:ad:55:e8:54;3;23855416;1765300185
000000000000001b;3;0e:9b:90:6e:a3:53;1;412;40243
6;1;de:f5:ad:55:e8:54;4;23855416;1765300185
6;4;0e:9b:90:6e:a3:53;1;412;40243
000000000000001a;1;de:f5:ad:55:e8:54;2;23855416;1765300185
000000000000001a;2;0e:9b:90:6e:a3:53;1;412;40243
000000000000000a;1;de:f5:ad:55:e8:54;2;23855416;1765300185
000000000000000a;2;0e:9b:90:6e:a3:53;1;412;40243
3;2;0e:9b:90:6e:a3:53;5;412;40243
3;5;de:f5:ad:55:e8:54;2;23855416;1765300185
3;2;0e:9b:90:6e:a3:53;5;422;41263
3;5;de:f5:ad:55:e8:54;2;24505389;1813398187
000000000000001a;1;de:f5:ad:55:e8:54;2;24505389;1813398187
000000000000001a;2;0e:9b:90:6e:a3:53;1;422;41263
000000000000000a;1;de:f5:ad:55:e8:54;2;24505389;1813398187
000000000000000a;2;0e:9b:90:6e:a3:53;1;422;41263
6;1;de:f5:ad:55:e8:54;4;24505389;1813398187
6;4;0e:9b:90:6e:a3:53;1;422;41263
000000000000001b;1;de:f5:ad:55:e8:54;3;24505389;1813398187
000000000000001b;3;0e:9b:90:6e:a3:53;1;422;41263
000000000000000a;1;de:f5:ad:55:e8:54;2;25122549;1859067995
000000000000000a;2;0e:9b:90:6e:a3:53;1;433;42325
6;1;de:f5:ad:55:e8:54;4;25122549;1859067995
6;4;0e:9b:90:6e:a3:53;1;433;42325
000000000000001b;1;de:f5:ad:55:e8:54;3;25122549;1859067995
000000000000001b;3;0e:9b:90:6e:a3:53;1;433;42325
3;2;0e:9b:90:6e:a3:53;5;433;42325
3;5;de:f5:ad:55:e8:54;2;25122549;1859067995
000000000000001a;1;de:f5:ad:55:e8:54;2;25122549;1859067995
000000000000001a;2;0e:9b:90:6e:a3:53;1;433;42325
000000000000001b;1;de:f5:ad:55:e8:54;3;25765434;1906641453
000000000000001b;3;0e:9b:90:6e:a3:53;1;444;43387
3;2;0e:9b:90:6e:a3:53;5;444;43387
3;5;de:f5:ad:55:e8:54;2;25765434;1906641453
6;1;de:f5:ad:55:e8:54;4;25765434;1906641453
6;4;0e:9b:90:6e:a3:53;1;444;43387
000000000000000a;1;de:f5:ad:55:e8:54;2;25765434;1906641453
000000000000000a;2;0e:9b:90:6e:a3:53;1;444;43387
000000000000001a;1;de:f5:ad:55:e8:54;2;25765434;1906641453
000000000000001a;2;0e:9b:90:6e:a3:53;1;444;43387
6;1;de:f5:ad:55:e8:54;4;26415201;1954724179
6;4;0e:9b:90:6e:a3:53;1;455;44449
000000000000000a;1;de:f5:ad:55:e8:54;2;26415201;1954724179
000000000000000a;2;0e:9b:90:6e:a3:53;1;455;44449
000000000000001a;1;de:f5:ad:55:e8:54;2;26415201;1954724179
000000000000001a;2;0e:9b:90:6e:a3:53;1;455;44449
3;2;0e:9b:90:6e:a3:53;5;455;44449
3;5;de:f5:ad:55:e8:54;2;26415201;1954724179
000000000000001b;1;de:f5:ad:55:e8:54;3;26415201;1954724179
000000000000001b;3;0e:9b:90:6e:a3:53;1;455;44449
000000000000000a;1;de:f5:ad:55:e8:54;2;27065327;2002833503
000000000000000a;2;0e:9b:90:6e:a3:53;1;465;45469
000000000000001a;1;de:f5:ad:55:e8:54;2;27065327;2002833503
000000000000001a;2;0e:9b:90:6e:a3:53;1;465;45469
3;2;0e:9b:90:6e:a3:53;5;465;45469
