datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  279806,188389123,198,508000000,0x0000
000000000000001b,       3,e2:e1:fb:07:8a:5f,       1,      19,    1179,198,572000000,0x0000
000000000000000a,       1,26:07:6a:27:9e:1f,       2,  279806,188389123,198,515000000,0x0000
000000000000000a,       2,e2:e1:fb:07:8a:5f,       1,      19,    1179,198,560000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  279806,188389123,198,518000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      19,    1179,198,557000000,0x0000
0000000000000003,       3,e2:e1:fb:07:8a:5f,       5,      22,    1354,208,535000000,0x0000
0000000000000003,       5,26:07:6a:27:9e:1f,       3,  292457,196899890,208,530000000,0x0000
0000000000000006,       2,26:07:6a:27:9e:1f,       4,  292457,196899890,208,519000000,0x0000
0000000000000006,       4,e2:e1:fb:07:8a:5f,       2,      22,    1354,208,558000000,0x0000
0000000000000004,       1,26:07:6a:27:9e:1f,       2,  292457,196899890,208,527000000,0x0000
0000000000000004,       2,e2:e1:fb:07:8a:5f,       1,      22,    1354,208,545000000,0x0000
0000000000000007,       1,26:07:6a:27:9e:1f,       2,  292457,196899890,208,523000000,0x0000
0000000000000007,       2,e2:e1:fb:07:8a:5f,       1,      22,    1354,208,550000000,0x0000
000000000000001a,       1,26:07:6a:27:9e:1f,       2,  292457,196899890,208,515000000,0x0000
000000000000001a,       2,e2:e1:fb:07:8a:5f,       1,      22,    1354,208,569000000,0x0000
000000000000001b,       1,26:07:6a:27:9e:1f,       3,  292457,196899890,208,512000000,0x0000
