sep=,
datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     265,   19610,12,365000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,65,833000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     808,   59792,64,921000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     490,   36260,22,469000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,75,950000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,85,917000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,     966,   71484,74,887000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     648,   47952,32,446000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    1151,   85174,85,125000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,96,154000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,     833,   61642,42,690000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,106,461000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    1322,   97828,95,435000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    1004,   74296,52,994000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    1462,  108188,105,359000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    1144,   84656,62,918000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,116,389000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,0,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    1621,  119954,115,444000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,126,473000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    1303,   96422,73,4000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,136,593000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    1845,  136530,125,563000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    1527,  112998,83,119000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       0,       0,0,0,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    2050,  151700,135,598000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,146,628000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    1732,  128168,93,157000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,      13,     962,0,80000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    2251,  166574,145,759000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,156,789000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    1933,  143042,103,320000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     109,    8066,0,0,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,       6,     444,0,258000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,      25,    1850,0,80000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    2455,  181670,155,862000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    2137,  158138,113,401000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,166,892000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     116,    8584,0,189000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     242,   17908,0,0,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     359,   26566,0,44000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     470,   34780,0,113000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     595,   44030,0,893000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     771,   57054,10,931000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,176,916000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    2313,  171162,123,448000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    2631,  194694,165,888000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,     967,   71558,21,27000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    2827,  209198,176,31000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,187,61000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    2509,  185666,133,591000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    3000,  222000,186,182000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,197,211000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    2682,  198468,143,741000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    1140,   84360,31,220000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    2802,  207348,153,694000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    3120,  230880,196,135000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,207,165000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    1260,   93240,41,178000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    1388,  102712,51,262000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    3248,  240352,206,223000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,217,253000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    2930,  216820,163,784000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    1515,  112110,61,368000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3057,  226218,173,891000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,227,360000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    3375,  249750,216,331000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,237,431000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    1648,  121952,71,447000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3190,  236060,183,976000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    3508,  259592,226,403000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,247,400000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3397,  251378,193,931000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    1855,  137270,81,415000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    3715,  274910,236,371000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    3879,  287046,246,722000000,0x0000
