sep=,
datapath,port,rx-pkts,rx-bytes,rx-error,tx-pkts,tx-bytes,tx-error,duration-sec,duration-nsec
000000000000001d,       1,      46,    8682,       0,       6,     924,       0,125,298000000
000000000000001d,       2,      18,    5310,       0,      33,    4518,       0,125,277000000
000000000000001d,fffffffe,       0,       0,       0,      11,    3762,       0,125,280000000
000000000000000c,       1,      45,    7212,       0,      11,    1506,       0,126,947000000
000000000000000c,       2,      26,    6354,       0,      24,    2286,       0,126,946000000
000000000000000c,fffffffe,       0,       0,       0,       6,    2052,       0,126,926000000
0000000000000016,       1,      45,    8622,       0,       1,      60,       0,126,150000000
0000000000000016,fffffffe,       0,       0,       0,       6,    2052,       0,126,126000000
0000000000000013,       1,      39,    7698,       0,       5,     300,       0,126,531000000
0000000000000013,fffffffe,       0,       0,       0,       5,    1710,       0,126,507000000
0000000000000017,       1,      17,    4968,       0,      33,    4800,       0,126,82000000
0000000000000017,       2,      49,    9990,       0,       4,     522,       0,125,909000000
0000000000000017,fffffffe,       0,       0,       0,      11,    3762,       0,125,914000000
0000000000000019,       1,      47,    9306,       0,       2,     120,       0,125,452000000
0000000000000019,       2,      50,    9768,       0,       5,     300,       0,125,501000000
0000000000000019,fffffffe,       0,       0,       0,       9,    3078,       0,125,453000000
0000000000000008,       1,      55,    9786,       0,       8,     762,       0,127,395000000
0000000000000008,       2,      21,    6336,       0,      33,    3954,       0,127,393000000
0000000000000008,       3,      21,    5772,       0,      36,    4416,       0,127,395000000
0000000000000008,fffffffe,       0,       0,       0,       8,    2736,       0,127,263000000
0000000000000005,       1,      51,    9264,       0,       5,     300,       0,127,659000000
0000000000000005,       2,      50,    9768,       0,       3,     180,       0,127,676000000
0000000000000005,fffffffe,       0,       0,       0,       6,    2052,       0,127,660000000
